A -- InitializationDate,Time Elapsed,Iteration #,Current (mA),Resistance (Ohms),Power (W),Temperature (C),Change in Temperature (C)
2026-02-18 09:52:22.761,00:00:00.770,1,5.000,570.864,0.014,20.000,0.000
2026-02-18 09:52:22.835,00:00:00.844,2,5.250,570.523,0.016,20.000,0.000
2026-02-18 09:52:22.909,00:00:00.917,3,5.513,571.012,0.017,20.000,0.000
2026-02-18 09:52:22.984,00:00:00.992,4,5.788,571.671,0.019,20.000,0.000
2026-02-18 09:52:23.058,00:00:01.067,5,6.078,572.449,0.021,20.000,0.000
2026-02-18 09:52:23.132,00:00:01.141,6,6.381,573.314,0.023,20.000,0.000
2026-02-18 09:52:23.206,00:00:01.215,7,6.700,574.277,0.026,20.000,0.000
2026-02-18 09:52:23.280,00:00:01.289,8,7.036,575.361,0.028,20.000,0.000
2026-02-18 09:52:23.354,00:00:01.363,9,7.387,576.578,0.031,20.000,0.000
2026-02-18 09:52:23.427,00:00:01.436,10,7.757,577.874,0.035,20.000,0.000
2026-02-18 09:52:23.501,00:00:01.510,11,8.144,579.371,0.038,20.384,0.384
2026-02-18 09:52:23.577,00:00:01.586,12,8.552,580.999,0.042,20.846,0.846
2026-02-18 09:52:23.651,00:00:01.660,13,8.979,582.847,0.047,21.370,1.370
2026-02-18 09:52:23.724,00:00:01.733,14,9.428,584.818,0.052,21.929,1.929
2026-02-18 09:52:23.798,00:00:01.807,15,9.900,587.050,0.058,22.562,2.562
2026-02-18 09:52:23.873,00:00:01.881,16,10.395,589.526,0.064,23.264,3.264
2026-02-18 09:52:24.025,00:00:02.034,17,10.914,593.007,0.071,24.252,4.252
2026-02-18 09:52:24.098,00:00:02.107,18,11.460,596.096,0.078,25.128,5.128
2026-02-18 09:52:24.172,00:00:02.181,19,12.033,599.649,0.087,26.135,6.135
2026-02-18 09:52:24.246,00:00:02.255,20,12.635,603.461,0.096,27.217,7.217
2026-02-18 09:52:24.321,00:00:02.329,21,13.266,607.593,0.107,28.388,8.388
2026-02-18 09:52:24.395,00:00:02.403,22,13.930,612.512,0.119,29.783,9.783
2026-02-18 09:52:24.469,00:00:02.478,23,14.626,617.821,0.132,31.289,11.289
2026-02-18 09:52:24.543,00:00:02.552,24,15.358,624.017,0.147,33.046,13.046
2026-02-18 09:52:24.617,00:00:02.626,25,16.125,630.737,0.164,34.952,14.952
2026-02-18 09:52:24.691,00:00:02.700,26,16.932,638.403,0.183,37.127,17.127
2026-02-18 09:52:24.764,00:00:02.773,27,17.778,647.296,0.205,39.649,19.649
2026-02-18 09:52:24.838,00:00:02.847,28,18.667,657.016,0.229,42.406,22.406
2026-02-18 09:52:24.912,00:00:02.921,29,19.601,668.458,0.257,45.651,25.651
2026-02-18 09:52:24.986,00:00:02.995,30,20.581,681.484,0.289,49.345,29.345
2026-02-18 09:52:25.060,00:00:03.069,31,21.610,696.508,0.325,53.606,33.606
2026-02-18 09:52:25.135,00:00:03.144,32,22.690,713.991,0.368,58.565,38.565
2026-02-18 09:52:25.209,00:00:03.218,33,23.825,734.613,0.417,64.413,44.413
2026-02-18 09:52:25.283,00:00:03.292,34,25.016,758.559,0.475,71.205,51.205
