A -- Initialization
Date,Time Elapsed,Iteration #,Current (mA),Resistance (Ohms),Power (W),Temperature (C),Change in Temperature (C)
2026-05-06 13:38:53.814,00:00:01.241,1,5.000,8.355,0.000,20.000,0.000
2026-05-06 13:38:55.891,00:00:03.319,2,5.250,8.355,0.000,20.000,0.000
2026-05-06 13:38:57.971,00:00:05.399,3,5.513,8.355,0.000,20.000,0.000
2026-05-06 13:39:00.050,00:00:07.478,4,5.788,8.355,0.000,20.000,0.000
2026-05-06 13:39:02.130,00:00:09.558,5,6.078,8.355,0.000,20.000,0.000
2026-05-06 13:39:04.209,00:00:11.637,6,6.381,8.355,0.000,20.000,0.000
2026-05-06 13:39:06.288,00:00:13.716,7,6.700,8.355,0.000,20.000,0.000
2026-05-06 13:39:08.395,00:00:15.822,8,7.036,8.354,0.000,20.000,0.000
2026-05-06 13:39:10.475,00:00:17.902,9,7.387,8.354,0.000,20.000,0.000
2026-05-06 13:39:12.555,00:00:19.982,10,7.757,8.354,0.001,20.000,0.000
2026-05-06 13:39:14.633,00:00:22.061,11,8.144,8.354,0.001,20.000,0.000
2026-05-06 13:39:16.712,00:00:24.139,12,8.552,8.353,0.001,20.000,0.000
2026-05-06 13:39:18.791,00:00:26.219,13,8.979,8.354,0.001,20.000,0.000
2026-05-06 13:39:20.872,00:00:28.299,14,9.428,8.353,0.001,20.000,0.000
2026-05-06 13:39:22.950,00:00:30.378,15,9.900,8.353,0.001,20.000,0.000
2026-05-06 13:39:25.038,00:00:32.466,16,10.395,8.353,0.001,20.000,0.000
2026-05-06 13:39:27.194,00:00:34.621,17,10.914,8.350,0.001,20.000,0.000
2026-05-06 13:39:29.272,00:00:36.699,18,11.460,8.350,0.001,20.000,0.000
2026-05-06 13:39:31.352,00:00:38.780,19,12.033,8.352,0.001,20.000,0.000
2026-05-06 13:39:33.431,00:00:40.858,20,12.635,8.351,0.001,20.000,0.000
2026-05-06 13:39:35.510,00:00:42.938,21,13.266,8.349,0.001,20.000,0.000
2026-05-06 13:39:37.589,00:00:45.017,22,13.930,8.350,0.002,20.000,0.000
2026-05-06 13:39:39.670,00:00:47.097,23,14.626,8.349,0.002,20.000,0.000
2026-05-06 13:39:41.749,00:00:49.176,24,15.358,8.351,0.002,20.000,0.000
2026-05-06 13:39:43.827,00:00:51.255,25,16.125,8.349,0.002,20.000,0.000
2026-05-06 13:39:45.906,00:00:53.333,26,16.932,8.349,0.002,20.000,0.000
2026-05-06 13:39:47.982,00:00:55.410,27,17.778,8.351,0.003,20.000,0.000
2026-05-06 13:39:50.061,00:00:57.489,28,18.667,8.349,0.003,20.000,0.000
2026-05-06 13:39:52.139,00:00:59.567,29,19.601,8.349,0.003,20.000,0.000
2026-05-06 13:39:54.214,00:01:01.642,30,20.581,8.349,0.004,20.000,0.000
2026-05-06 13:39:56.293,00:01:03.721,31,21.610,8.349,0.004,20.000,0.000
2026-05-06 13:39:58.371,00:01:05.798,32,22.690,8.349,0.004,20.000,0.000
2026-05-06 13:40:00.449,00:01:07.876,33,23.825,8.350,0.005,20.000,0.000
