B -- Temperature Staircase
Date,Time Elapsed,Iteration #,Current (mA),Resistance (Ohms),Power (W),Temperature (C),Change in Temperature (C)
2026-03-03 10:56:18.257,00:00:00.086,1,21.223,834.074,0.376,90.496,70.496
2026-03-03 10:56:18.352,00:00:00.181,2,23.139,864.330,0.463,99.000,79.000
2026-03-03 10:56:18.445,00:00:00.274,3,22.973,870.566,0.459,100.753,80.753
2026-03-03 10:56:18.539,00:00:00.368,4,23.693,844.125,0.474,93.321,73.321
2026-03-03 10:56:18.631,00:00:00.460,5,23.154,863.780,0.463,98.845,78.845
2026-03-03 10:56:18.723,00:00:00.552,6,24.031,832.246,0.481,89.982,69.982
2026-03-03 10:56:18.830,00:00:00.659,7,23.240,860.558,0.465,97.939,77.939
2026-03-03 10:56:18.924,00:00:00.753,8,24.314,822.565,0.486,87.261,67.261
2026-03-03 10:56:19.017,00:00:00.846,9,23.258,859.924,0.465,97.761,77.761
2026-03-03 10:56:19.110,00:00:00.939,10,24.605,812.821,0.492,84.522,64.522
2026-03-03 10:56:19.203,00:00:01.033,11,23.199,862.113,0.464,98.377,78.377
2026-03-03 10:56:19.302,00:00:01.131,12,24.970,800.956,0.499,81.187,61.187
2026-03-03 10:56:19.398,00:00:01.227,13,23.014,869.028,0.460,100.320,80.320
2026-03-03 10:56:19.493,00:00:01.322,14,25.489,784.645,0.510,76.603,56.603
2026-03-03 10:56:19.589,00:00:01.418,15,22.641,883.344,0.453,104.344,84.344
2026-03-03 10:56:19.683,00:00:01.512,16,26.420,756.982,0.528,68.828,48.828
2026-03-03 10:56:19.800,00:00:01.629,17,21.821,916.521,0.436,113.669,93.669
2026-03-03 10:56:19.894,00:00:01.723,18,30.431,657.219,0.609,40.788,20.788
2026-03-03 10:56:19.993,00:00:01.823,19,17.388,918.868,0.278,114.328,94.328
2026-03-03 10:56:20.092,00:00:01.921,20,30.410,657.670,0.608,40.915,20.915
2026-03-03 10:56:20.187,00:00:02.016,21,17.491,927.039,0.284,116.625,96.625
