[2026-02-10 10:36:35.755] (Total Time Elapsed: 00:00:00.078) - Program Start
[2026-02-10 10:36:36.417] (Total Time Elapsed: 00:00:00.740) - Measuring Chuck Resistance...
[2026-02-10 10:36:36.490] (Total Time Elapsed: 00:00:00.813) - Applying Current - I: 0.0100 A | R: 4.1261 Ω | ΔT: 0.08 °C
[2026-02-10 10:36:36.563] (Total Time Elapsed: 00:00:00.886) - Applying Current - I: 0.0105 A | R: 4.1258 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:36.715] (Total Time Elapsed: 00:00:01.038) - Applying Current - I: 0.0110 A | R: 4.1240 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:36.789] (Total Time Elapsed: 00:00:01.112) - Applying Current - I: 0.0116 A | R: 4.1237 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:36.863] (Total Time Elapsed: 00:00:01.186) - Applying Current - I: 0.0122 A | R: 4.1237 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:36.937] (Total Time Elapsed: 00:00:01.260) - Applying Current - I: 0.0128 A | R: 4.1245 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:37.011] (Total Time Elapsed: 00:00:01.334) - Applying Current - I: 0.0134 A | R: 4.1233 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:37.084] (Total Time Elapsed: 00:00:01.407) - Applying Current - I: 0.0141 A | R: 4.1233 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:37.158] (Total Time Elapsed: 00:00:01.480) - Applying Current - I: 0.0148 A | R: 4.1239 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:37.231] (Total Time Elapsed: 00:00:01.554) - Applying Current - I: 0.0155 A | R: 4.1238 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:37.305] (Total Time Elapsed: 00:00:01.628) - Applying Current - I: 0.0163 A | R: 4.1235 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:37.379] (Total Time Elapsed: 00:00:01.702) - Applying Current - I: 0.0171 A | R: 4.1237 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:37.452] (Total Time Elapsed: 00:00:01.775) - Applying Current - I: 0.0180 A | R: 4.1237 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:37.526] (Total Time Elapsed: 00:00:01.849) - Applying Current - I: 0.0189 A | R: 4.1229 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:37.600] (Total Time Elapsed: 00:00:01.923) - Applying Current - I: 0.0198 A | R: 4.1234 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:37.675] (Total Time Elapsed: 00:00:01.997) - Applying Current - I: 0.0208 A | R: 4.1232 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:37.749] (Total Time Elapsed: 00:00:02.071) - Applying Current - I: 0.0218 A | R: 4.1234 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:37.823] (Total Time Elapsed: 00:00:02.145) - Applying Current - I: 0.0229 A | R: 4.1229 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:37.897] (Total Time Elapsed: 00:00:02.220) - Applying Current - I: 0.0241 A | R: 4.1229 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:37.971] (Total Time Elapsed: 00:00:02.294) - Applying Current - I: 0.0253 A | R: 4.1231 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:38.045] (Total Time Elapsed: 00:00:02.368) - Applying Current - I: 0.0265 A | R: 4.1233 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:38.119] (Total Time Elapsed: 00:00:02.442) - Applying Current - I: 0.0279 A | R: 4.1229 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:38.193] (Total Time Elapsed: 00:00:02.516) - Applying Current - I: 0.0293 A | R: 4.1233 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:38.267] (Total Time Elapsed: 00:00:02.590) - Applying Current - I: 0.0307 A | R: 4.1229 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:38.343] (Total Time Elapsed: 00:00:02.666) - Applying Current - I: 0.0323 A | R: 4.1229 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:38.417] (Total Time Elapsed: 00:00:02.740) - Applying Current - I: 0.0339 A | R: 4.1230 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:38.491] (Total Time Elapsed: 00:00:02.814) - Applying Current - I: 0.0356 A | R: 4.1227 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:38.566] (Total Time Elapsed: 00:00:02.889) - Applying Current - I: 0.0373 A | R: 4.1228 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:38.639] (Total Time Elapsed: 00:00:02.962) - Applying Current - I: 0.0392 A | R: 4.1226 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:38.713] (Total Time Elapsed: 00:00:03.036) - Applying Current - I: 0.0412 A | R: 4.1227 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:38.787] (Total Time Elapsed: 00:00:03.110) - Applying Current - I: 0.0432 A | R: 4.1228 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:38.861] (Total Time Elapsed: 00:00:03.184) - Applying Current - I: 0.0454 A | R: 4.1227 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:38.935] (Total Time Elapsed: 00:00:03.258) - Applying Current - I: 0.0476 A | R: 4.1228 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:39.009] (Total Time Elapsed: 00:00:03.332) - Applying Current - I: 0.0500 A | R: 4.1225 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:39.156] (Total Time Elapsed: 00:00:03.479) - Applying Current - I: 0.0525 A | R: 4.1228 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:39.230] (Total Time Elapsed: 00:00:03.553) - Applying Current - I: 0.0552 A | R: 4.1226 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:39.304] (Total Time Elapsed: 00:00:03.627) - Applying Current - I: 0.0579 A | R: 4.1227 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:39.379] (Total Time Elapsed: 00:00:03.702) - Applying Current - I: 0.0608 A | R: 4.1226 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:39.453] (Total Time Elapsed: 00:00:03.776) - Applying Current - I: 0.0639 A | R: 4.1226 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:39.526] (Total Time Elapsed: 00:00:03.849) - Applying Current - I: 0.0670 A | R: 4.1227 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:39.600] (Total Time Elapsed: 00:00:03.923) - Applying Current - I: 0.0704 A | R: 4.1226 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:39.673] (Total Time Elapsed: 00:00:03.996) - Applying Current - I: 0.0739 A | R: 4.1225 Ω | ΔT: 0.00 °C
[2026-02-10 10:36:39.747] (Total Time Elapsed: 00:00:04.070) - Applying Current - I: 0.0776 A | R: 4.1225 Ω | ΔT: 0.00 °C
