[2026-02-12 11:45:08.597] (Total Time Elapsed: 00:00:00.077) - Program Start
[2026-02-12 11:45:09.144] (Total Time Elapsed: 00:00:00.621) - Measuring Chuck Resistance...
Date,Time Elapsed,Iteration #,Current (A),Resistance (Ω),Change in Temperature (°C)
2026-02-12 11:45:09.224,00:00:00.699,1,0.005,566.572,0.000
2026-02-12 11:45:09.291,00:00:00.773,2,0.005,566.221,0.000
2026-02-12 11:45:09.369,00:00:00.846,3,0.006,566.701,0.000
2026-02-12 11:45:09.442,00:00:00.920,4,0.006,567.364,0.000
2026-02-12 11:45:09.516,00:00:00.993,5,0.006,568.143,0.000
2026-02-12 11:45:09.590,00:00:01.066,6,0.006,569.018,0.000
2026-02-12 11:45:09.665,00:00:01.143,7,0.007,570.008,0.000
2026-02-12 11:45:09.740,00:00:01.217,8,0.007,571.097,0.000
2026-02-12 11:45:09.828,00:00:01.306,9,0.007,572.311,0.000
2026-02-12 11:45:09.903,00:00:01.380,10,0.008,573.709,0.043
2026-02-12 11:45:09.974,00:00:01.453,11,0.008,575.192,0.466
2026-02-12 11:45:10.047,00:00:01.527,12,0.009,576.799,0.926
2026-02-12 11:45:10.124,00:00:01.601,13,0.009,578.641,1.452
2026-02-12 11:45:10.196,00:00:01.675,14,0.009,580.615,2.016
2026-02-12 11:45:10.264,00:00:01.749,15,0.010,582.860,2.658
2026-02-12 11:45:10.340,00:00:01.822,16,0.010,585.320,3.361
2026-02-12 11:45:10.494,00:00:01.974,17,0.011,588.784,4.351
2026-02-12 11:45:10.570,00:00:02.047,18,0.011,591.834,5.223
2026-02-12 11:45:10.642,00:00:02.121,19,0.012,595.351,6.228
2026-02-12 11:45:10.718,00:00:02.195,20,0.013,599.127,7.308
2026-02-12 11:45:10.791,00:00:02.269,21,0.013,603.233,8.481
2026-02-12 11:45:10.866,00:00:02.343,22,0.014,608.096,9.871
2026-02-12 11:45:10.941,00:00:02.418,23,0.015,613.386,11.383
2026-02-12 11:45:11.014,00:00:02.492,24,0.015,619.558,13.147
2026-02-12 11:45:11.085,00:00:02.566,25,0.016,626.198,15.045
2026-02-12 11:45:11.158,00:00:02.641,26,0.017,633.832,17.227
2026-02-12 11:45:11.235,00:00:02.715,27,0.018,642.695,19.760
2026-02-12 11:45:11.310,00:00:02.788,28,0.019,652.368,22.525
2026-02-12 11:45:11.386,00:00:02.862,29,0.020,663.665,25.754
2026-02-12 11:45:11.458,00:00:02.935,30,0.021,676.600,29.451
2026-02-12 11:45:11.527,00:00:03.010,31,0.022,691.551,33.724
2026-02-12 11:45:11.608,00:00:03.084,32,0.023,708.883,38.678
2026-02-12 11:45:11.675,00:00:03.157,33,0.024,729.201,44.485
2026-02-12 11:45:11.750,00:00:03.231,34,0.025,752.956,51.275
[2026-02-12 11:45:11.750] (Total Time Elapsed: 00:00:03.232) - Initialization loop finished with 34 loops completed.
