[2026-02-12 11:47:57.978] (Total Time Elapsed: 00:00:00.075) - Program Start
[2026-02-12 11:47:58.602] (Total Time Elapsed: 00:00:00.694) - Measuring Chuck Resistance...
Date,Time Elapsed,Iteration #,Current (mA),Resistance (Ω),Change in Temperature (°C)
2026-02-12 11:47:58.676,00:00:00.769,1,5.0000000,566.450,0.000
2026-02-12 11:47:58.748,00:00:00.842,2,5.2500000,566.114,0.000
2026-02-12 11:47:58.821,00:00:00.916,3,5.5125000,566.598,0.000
2026-02-12 11:47:58.896,00:00:00.989,4,5.7881250,567.258,0.000
2026-02-12 11:47:58.963,00:00:01.062,5,6.0775313,568.032,0.000
2026-02-12 11:47:59.043,00:00:01.137,6,6.3814078,568.915,0.000
2026-02-12 11:47:59.119,00:00:01.213,7,6.7004782,569.888,0.000
2026-02-12 11:47:59.194,00:00:01.286,8,7.0355021,570.984,0.000
2026-02-12 11:47:59.268,00:00:01.363,9,7.3872772,572.223,0.000
2026-02-12 11:47:59.343,00:00:01.437,10,7.7566411,573.515,0.013
2026-02-12 11:47:59.413,00:00:01.511,11,8.1444731,575.001,0.438
2026-02-12 11:47:59.494,00:00:01.585,12,8.5516968,576.616,0.899
2026-02-12 11:47:59.567,00:00:01.659,13,8.9792816,578.454,1.425
2026-02-12 11:47:59.638,00:00:01.732,14,9.4282457,580.425,1.988
2026-02-12 11:47:59.710,00:00:01.805,15,9.8996580,582.651,2.625
2026-02-12 11:47:59.778,00:00:01.878,16,10.3946409,585.114,3.329
2026-02-12 11:47:59.938,00:00:02.029,17,10.9143729,588.600,4.325
2026-02-12 11:48:00.011,00:00:02.103,18,11.4600916,591.637,5.193
2026-02-12 11:48:00.084,00:00:02.176,19,12.0330962,595.150,6.197
2026-02-12 11:48:00.158,00:00:02.250,20,12.6347510,598.921,7.275
2026-02-12 11:48:00.231,00:00:02.324,21,13.2664885,603.044,8.454
2026-02-12 11:48:00.304,00:00:02.399,22,13.9298130,607.901,9.843
2026-02-12 11:48:00.379,00:00:02.472,23,14.6263036,613.193,11.355
2026-02-12 11:48:00.453,00:00:02.545,24,15.3576188,619.319,13.107
2026-02-12 11:48:00.527,00:00:02.618,25,16.1254997,625.946,15.001
2026-02-12 11:48:00.598,00:00:02.691,26,16.9317747,633.543,17.173
2026-02-12 11:48:00.670,00:00:02.764,27,17.7783634,642.378,19.698
2026-02-12 11:48:00.743,00:00:02.837,28,18.6672816,652.029,22.457
2026-02-12 11:48:00.816,00:00:02.910,29,19.6006457,663.331,25.688
2026-02-12 11:48:00.887,00:00:02.984,30,20.5806780,676.264,29.385
2026-02-12 11:48:00.960,00:00:03.058,31,21.6097119,691.233,33.664
2026-02-12 11:48:01.031,00:00:03.130,32,22.6901975,708.438,38.582
2026-02-12 11:48:01.113,00:00:03.204,33,23.8247073,728.643,44.359
2026-02-12 11:48:01.185,00:00:03.278,34,25.0159427,752.417,51.155
[2026-02-12 11:48:01.187] (Total Time Elapsed: 00:00:03.279) - Initialization loop finished with 34 loops completed.
