A -- Initialization,,,,,,,
Date,Time Elapsed,Iteration #,Current (mA),Resistance (Ohms),Power (W),Temperature (C),Change in Temperature (C)
49:09.8,00:00.8,1,5,566.231,0.014155775,20,0
49:09.9,00:00.9,2,5.25,565.885,0.015597205,20,0
49:09.9,00:00.9,3,5.513,566.365,0.017213627,20,0
49:10.0,00:01.0,4,5.788,567.022,0.018995772,20,0
49:10.1,00:01.1,5,6.078,567.796,0.020975568,20,0
49:10.2,00:01.1,6,6.381,568.673,0.02315475,20,0
49:10.2,00:01.2,7,6.7,569.658,0.025571948,20,0
49:10.3,00:01.3,8,7.036,570.742,0.028254752,20,0
49:10.4,00:01.4,9,7.387,571.959,0.031210527,20,0
49:10.5,00:01.4,10,7.757,573.26,0.034493656,20.01,0.01
49:10.5,00:01.5,11,8.144,574.754,0.038120407,20.437,0.437
49:10.6,00:01.6,12,8.552,576.373,0.042154021,20.901,0.901
49:10.7,00:01.7,13,8.979,578.22,0.046617508,21.429,1.429
49:10.8,00:01.8,14,9.428,580.203,0.051572611,21.996,1.996
49:10.9,00:01.9,15,9.9,582.832,0.057123364,22.748,2.748
49:11.0,00:01.9,16,10.395,585.265,0.063241409,23.443,3.443
49:11.1,00:02.1,17,10.914,588.753,0.070129547,24.441,4.441
49:11.2,00:02.2,18,11.46,591.786,0.077720202,25.309,5.309
49:11.2,00:02.2,19,12.033,595.296,0.086194747,26.312,6.312
49:11.3,00:02.3,20,12.635,599.062,0.09563619,27.389,7.389
49:11.4,00:02.4,21,13.266,603.165,0.106149052,28.563,8.563
49:11.5,00:02.4,22,13.93,608.008,0.117980852,29.948,9.948
49:11.5,00:02.5,23,14.626,613.268,0.131190215,31.452,11.452
49:11.6,00:02.6,24,15.358,619.402,0.146097213,33.206,13.206
49:11.7,00:02.7,25,16.125,626.066,0.162786942,35.112,15.112
49:11.8,00:02.7,26,16.932,633.671,0.181668802,37.287,17.287
49:11.8,00:02.8,27,17.778,642.521,0.203073442,39.818,19.818
49:11.9,00:02.9,28,18.667,652.171,0.227253478,42.578,22.578
49:12.0,00:03.0,29,19.601,663.547,0.254934227,45.831,25.831
49:12.1,00:03.0,30,20.581,676.42,0.286516334,49.513,29.513
49:12.1,00:03.1,31,21.61,691.345,0.322852653,53.781,33.781
49:12.2,00:03.2,32,22.69,708.592,0.364808742,58.713,38.713
49:12.3,00:03.3,33,23.825,728.758,0.413665359,64.481,44.481
49:12.4,00:03.3,34,25.016,752.464,0.470892164,71.26,51.26
