Wafer,Die,Resistor Type,Initial Resistance,Minimum Resistance,Time to Minimum Resistance,Time to Failure,Device Lifetime
W4,B6,SA,19.99958801,19.99958801,1.91E-06,1.91E-06,0
W4,B6,SB,19.99963188,19.99963188,1.67E-06,1.67E-06,0
W4,B7,0,15.41574192,15.39512062,29.07540369,35.06995654,5.994552851
W4,B7,100,1.498537302,1.497629643,1.737750769,21.4484179,19.71066713
W4,B7,500,15.07257271,15.0640583,2.557331562,41.37195992,38.81462836
W4,B7,SA,19.9995842,19.9995842,2.15E-06,2.15E-06,0
W4,B8,100,15.42421913,15.41322899,29.30143142,30.09447575,0.793044329
W4,B8,500,15.4220953,15.3977108,106.8041489,106.8774774,0.073328495
W4,B8,SA,19.85064125,19.85064125,3.34E-06,0.071973324,0.071969986
W4,B8,SB,19.99957466,19.99957466,1.91E-06,1.91E-06,0
W4,B9,0,15.38395214,14.98309517,106.3561447,172.4452729,66.08912826
W4,B9,SA,19.62005043,19.62005043,4.29E-06,0.075081587,0.075077295
W4,C10,SA,15.88019943,15.49569511,4.338416338,30.12378478,25.78536844
W4,C10,SB,16.80425072,16.80425072,1.91E-06,4.024903297,4.02490139
W4,C4,SB,19.99961662,19.99961662,2.15E-06,2.15E-06,0
W4,C5,0,14.37535286,13.43345165,12.99806929,65.06078649,52.0627172
W4,C5,100,19.9996109,19.9996109,0,0,0
W4,C5,500,17.35871697,17.35871697,0,0.357766867,0.357766867
W4,C5,SA,17.11675644,17.11675644,2.62E-06,0.215947151,0.215944529
W4,C5,SB,15.97349644,15.79420281,1.236670732,3.646803617,2.410132885
W4,C6,0,13.80388546,12.4158411,33.22554469,138.5216784,105.2961338
W4,C6,100,16.42243004,16.42243004,0,0.940521717,0.940521717
W4,C6,500,19.99960518,19.99960518,0,0,0
W4,C6,SA,15.06736946,14.3463726,9.07474184,44.35215259,35.27741075
W4,C6,SB,14.80808449,14.06879807,18.63416123,61.25525331,42.62109208
W4,C7,0,13.69723892,11.88265705,61.83362794,204.4000359,142.5664079
W4,C7,100,15.33782482,14.65949917,7.8548069,28.5237124,20.6689055
W4,C7,500,15.24629307,14.3313961,14.79786968,79.55590224,64.75803256
W4,C8,SA,14.19746018,13.09144115,28.379143,126.0446076,97.66546464
W4,C9,SA,14.79534245,13.52764416,35.66704082,140.4616325,104.7945917
W4,C9,SB,14.98151684,14.12792015,17.38621569,100.703651,83.31743526
W4,D10,0,14.15871716,13.39621639,15.79120588,86.53660226,70.74539638
W4,D10,100,14.98081493,14.41664982,7.752758741,47.81746554,40.0647068
W4,D10,500,16.16847801,16.16847801,1.19E-06,4.701512575,4.701511383
W4,D10,SA,13.86451054,12.25228214,67.53689027,244.6431997,177.1063094
W4,D10,SB,14.27853394,13.0957222,34.25101113,154.5885522,120.3375411
W4,D11,0,19.99968147,19.99968147,2.62E-06,2.62E-06,0
W4,D11,100,20.03780937,20.03780937,1.67E-06,1.67E-06,0
W4,D11,500,19.99955177,19.99955177,2.86E-06,2.86E-06,0
W4,D12,0,19.99958038,19.99958038,0,0,0
W4,D12,100,19.99960899,19.99960899,0,0,0
W4,D12,500,19.99938393,19.99938393,0,0,0
W4,D13,0,19.99962044,19.99962044,0,0,0
W4,D3,0,14.52393723,13.67598438,9.973313332,35.77440977,25.80109644
W4,D3,100,19.99959374,19.99959374,0,0,0
W4,D3,500,17.38469887,17.38469887,0,0.291296721,0.291296721
W4,D3,SA,19.99954414,19.99954414,1.43E-06,1.43E-06,0
W4,D4,0,13.52466297,11.7941103,56.74511719,185.9565032,129.211386
W4,D4,500,14.00043297,13.83398151,15.31957603,82.95741248,67.63783646
W4,D4,SA,14.72572613,13.93400478,10.94135928,46.15943527,35.21807599
W4,D4,SB,14.35155773,13.21701813,21.1739006,94.23639512,73.06249452
W4,D5,0,13.25059032,11.45300198,55.42799854,162.0270443,106.5990458
W4,D5,100,14.73334408,13.95378208,7.489114761,29.86024499,22.37113023
W4,D5,500,14.43439674,13.21013355,22.79443288,91.25428557,68.4598527
W4,D6,0,12.87658596,11.11489677,47.75319815,162.5027251,114.749527
W4,D6,100,13.97413921,12.73905182,22.27575064,83.29197478,61.01622415
W4,D6,500,13.89081097,12.29043961,42.10228372,135.3862076,93.28392386
W4,D7,0,12.65326405,10.93096829,50.04791546,145.7539649,95.70604944
W4,D7,100,12.1271534,11.9711771,60.16122484,163.5974255,103.4362006
W4,D7,500,13.57605648,11.94334984,52.36478305,160.9106824,108.5458994
W4,D8,0,12.82894325,11.21398449,49.71842599,143.6920552,93.97362924
W4,D8,100,13.42860317,11.90795517,48.44025683,145.8405468,97.40029001
W4,D8,500,13.66990852,12.18552971,48.60863233,158.9834228,110.3747904
W4,D9,0,13.202528,11.78490162,50.15637636,170.9026067,120.7462304
W4,D9,100,13.8246727,12.50004387,40.35756922,136.8742108,96.51664162
W4,D9,500,14.20409203,13.05007553,30.67881107,135.9767809,105.2979698
W4,E10,100,13.35547066,11.78657723,59.51289797,213.447674,153.9347761
W4,E10,500,13.34194946,11.37641048,73.76527667,190.1010137,116.335737
W4,E10,SA,13.22575283,10.88439465,122.6067264,325.9931056,203.3863792
W4,E11,0,14.68581867,14.28025723,4.558274746,23.64405251,19.08577776
W4,E11,100,14.55898762,13.85286617,14.74700022,89.58502316,74.83802295
W4,E11,500,15.92561817,15.6398983,2.635888338,20.99666739,18.36077905
