Wafer,Die,Resistor Type,Initial Resistance,Minimum Resistance,Time to Minimum Resistance,Time to Failure,Device Lifetime
W4,B6,SA,19.999588013,19.999588013,1.9073486328125e-06,1.9073486328125e-06,0.0
W4,B6,SB,19.999631882,19.999631882,1.6689300537109375e-06,1.6689300537109375e-06,0.0
W4,B7,0,15.41574192,15.395120621,29.07540369033813,35.0699565410614,5.99455285072327
W4,B7,100,1.498537302,1.4976296425,1.737750768661499,21.4484179019928,19.710667133331302
W4,B7,500,15.072572708,15.064058304,2.5573315620422363,41.37195992469788,38.81462836265565
W4,B7,SA,19.999584198,19.999584198,2.1457672119140625e-06,2.1457672119140625e-06,0.0
W4,B8,100,15.424219131,15.413228989,29.30143141746521,30.094475746154785,0.7930443286895752
W4,B8,500,15.422095299,15.3977108,106.8041489124298,106.87747740745544,0.07332849502564898
W4,B8,SA,19.850641251,19.850641251,3.337860107421875e-06,0.0719733238220214,0.07196998596191398
W4,B8,SB,19.999574661,19.999574661,1.9073486328125e-06,1.9073486328125e-06,0.0
W4,B9,0,15.383952141,14.983095169,106.35614466667175,172.44527292251587,66.08912825584412
W4,B9,SA,19.62005043,19.62005043,4.291534423828125e-06,0.0750815868377685,0.07507729530334467
W4,C10,SA,15.880199432,15.495695114,4.338416337966919,30.12378478050232,25.7853684425354
W4,C10,SB,16.804250717,16.804250717,1.9073486328125e-06,4.024903297424316,4.024901390075684
W4,C4,SB,19.999616623,19.999616623,2.1457672119140625e-06,2.1457672119140625e-06,0.0
W4,C5,0,14.375352859,13.433451653,12.998069286346436,65.060786485672,52.06271719932556
W4,C5,100,19.999610901,19.999610901,0.0,0.0,0.0
W4,C5,500,17.358716965,17.358716965,0.0,0.3577668666839599,0.3577668666839599
W4,C5,SA,17.116756439,17.116756439,2.6226043701171875e-06,0.215947151184082,0.2159445285797119
W4,C5,SB,15.973496437,15.794202805,1.236670732498169,3.646803617477417,2.410132884979248
W4,C6,0,13.80388546,12.415841103,33.225544691085815,138.5216784477234,105.29613375663757
W4,C6,100,16.422430038,16.422430038,0.0,0.9405217170715332,0.9405217170715332
W4,C6,500,19.999605179,19.999605179,0.0,0.0,0.0
W4,C6,SA,15.067369461,14.346372604,9.074741840362549,44.35215258598328,35.277410745620735
W4,C6,SB,14.808084488,14.068798065,18.634161233901978,61.25525331497192,42.62109208106994
W4,C7,0,13.697238922,11.882657051,61.83362793922424,204.4000358581543,142.56640791893005
W4,C7,100,15.337824821,14.659499168,7.854806900024414,28.523712396621704,20.66890549659729
W4,C7,500,15.246293068,14.331396103,14.797869682312012,79.55590224266052,64.75803256034851
W4,C8,SA,14.197460175,13.091441154,28.379142999649048,126.04460763931274,97.6654646396637
W4,C9,SA,14.795342445,13.527644157,35.66704082489014,140.46163249015808,104.79459166526794
W4,C9,SB,14.981516838,14.127920151,17.386215686798096,100.7036509513855,83.3174352645874
W4,D10,0,14.158717155,13.396216393,15.791205883026125,86.53660225868225,70.74539637565613
W4,D10,100,14.980814934,14.416649818,7.752758741378784,47.81746554374695,40.064706802368164
W4,D10,500,16.168478012,16.168478012,1.1920928955078125e-06,4.701512575149536,4.701511383056641
W4,D10,SA,13.864510536,12.252282143,67.5368902683258,244.6431996822357,177.10630941390988
W4,D10,SB,14.278533936,13.095722198,34.25101113319397,154.588552236557,120.33754110336304
W4,D11,0,19.999681473,19.999681473,2.6226043701171875e-06,2.6226043701171875e-06,0.0
W4,D11,100,20.037809372,20.037809372,1.6689300537109375e-06,1.6689300537109375e-06,0.0
W4,D11,500,19.999551773,19.999551773,2.86102294921875e-06,2.86102294921875e-06,0.0
W4,D12,0,19.999580383,19.999580383,0.0,0.0,0.0
W4,D12,100,19.999608994,19.999608994,0.0,0.0,0.0
W4,D12,500,19.999383926,19.999383926,0.0,0.0,0.0
W4,D13,0,19.999620438,19.999620438,0.0,0.0,0.0
W4,D3,0,14.523937225,13.675984383,9.973313331604004,35.774409770965576,25.801096439361572
W4,D3,100,19.999593735,19.999593735,0.0,0.0,0.0
W4,D3,500,17.384698868,17.384698868,0.0,0.2912967205047607,0.2912967205047607
W4,D3,SA,19.999544144,19.999544144,1.430511474609375e-06,1.430511474609375e-06,0.0
W4,D4,0,13.524662971,11.794110298,56.7451171875,185.9565031528473,129.2113859653473
W4,D4,500,14.000432968,13.833981514,15.319576025009155,82.95741248130798,67.63783645629883
W4,D4,SA,14.725726128,13.934004784,10.941359281539915,46.1594352722168,35.21807599067688
W4,D4,SB,14.351557732,13.217018127,21.173900604248047,94.23639512062071,73.06249451637267
W4,D5,0,13.250590324,11.453001976,55.427998542785645,162.02704429626465,106.599045753479
W4,D5,100,14.733344078,13.953782082,7.489114761352539,29.86024498939514,22.371130228042603
W4,D5,500,14.434396744,13.210133553,22.794432878494263,91.25428557395936,68.4598526954651
W4,D6,0,12.87658596,11.114896774,47.75319814682007,162.50272512435913,114.74952697753906
W4,D6,100,13.974139214,12.739051819,22.275750637054443,83.29197478294373,61.01622414588928
W4,D6,500,13.890810966,12.290439606,42.10228371620178,135.3862075805664,93.28392386436462
W4,D7,0,12.653264046,10.930968285,50.0479154586792,145.75396490097046,95.70604944229126
W4,D7,100,12.127153397,11.971177101,60.16122484207153,163.59742546081543,103.4362006187439
W4,D7,500,13.57605648,11.943349838,52.36478304862976,160.91068243980408,108.54589939117432
W4,D8,0,12.828943253,11.213984489,49.718425989151,143.69205522537231,93.97362923622131
W4,D8,100,13.428603172,11.90795517,48.44025683403015,145.84054684638977,97.40029001235962
W4,D8,500,13.669908524,12.185529709,48.6086323261261,158.98342275619507,110.37479043006897
W4,D9,0,13.202528,11.784901619,50.15637636184693,170.90260672569275,120.74623036384583
W4,D9,100,13.824672699,12.500043869,40.357569217681885,136.87421083450317,96.51664161682129
W4,D9,500,14.204092026,13.050075531,30.678811073303223,135.97678089141846,105.29796981811523
W4,E10,100,13.355470657,11.786577225,59.51289796829224,213.447674036026,153.93477606773376
W4,E10,500,13.341949463,11.376410484,73.76527667045593,190.1010136604309,116.33573698997498
W4,E10,SA,13.225752831,10.884394646,122.60672640800476,325.9931056499481,203.38637924194336
W4,E11,0,14.685818672,14.280257225,4.558274745941162,23.644052505493164,19.085777759552002
W4,E11,100,14.558987617,13.852866173,14.747000217437744,89.58502316474915,74.8380229473114
W4,E11,500,15.925618172,15.6398983,2.6358883380889893,20.99666738510132,18.36077904701233
W4,E12,0,19.999599457,19.999599457,0.0,0.0,0.0
W4,E13,0,15.001771927,14.985531807,3.0611608028411865,10.39370059967041,7.332539796829224
W4,E13,500,19.999391556,19.999391556,0.0,0.0,0.0
W4,E4,0,15.011137009,14.982250214,43.859639167785645,55.65799880027771,11.798359632492065
W4,E4,100,13.650004387,12.519676208,25.947734832763672,99.00333309173584,73.05559825897217
W4,E4,500,13.508885384,11.951881409,41.32874941825867,140.95724487304688,99.62849545478821
W4,E5,0,12.156921387,10.757324219,58.33782172203064,152.94553518295288,94.60771346092224
W4,E5,100,13.402766228,11.937712669,29.917524814605716,93.60715746879578,63.68963265419006
W4,E5,500,13.393410683,11.747292519,43.45203113555908,119.12298464775084,75.67095351219176
W4,E6,0,11.488284111,10.27628231,134.67066884040833,229.12586331367493,94.4551944732666
W4,E6,100,9.1365318298,9.1056566238,0.0730795860290527,2.2112088203430176,2.138129234313965
W4,E6,500,12.858276367,11.305488586,83.20060801506042,187.49763989448547,104.29703187942505
W4,E7,0,11.281895638,10.016160011,169.94855546951294,483.2262003421784,313.27764487266546
W4,E7,100,12.556778908,11.165014267,67.19013977050781,170.3092815876007,103.1191418170929
W4,E7,500,12.521227837,10.943055153,112.82745695114136,263.34489274024963,150.51743578910828
W4,E8,0,11.705559731,10.53241539,85.48778629302979,320.7016386985779,235.2138524055481
W4,E8,100,12.465935707,10.948946953,67.6334125995636,180.17732214927676,112.54390954971316
W4,E8,500,12.802461624,11.193140984,86.03110098838806,204.497709274292,118.46660828590393
W4,E9,0,10.677576065,10.677576065,0.0,33.432990312576294,33.432990312576294
W4,E9,100,13.040679932,11.371076584,48.0093252658844,121.38535284996031,73.37602758407591
W4,F11,0,13.477044106,12.275806427,44.33599209785461,141.51935696601868,97.18336486816406
W4,F11,100,13.488576889,11.968802452,66.47969794273376,247.00867915153503,180.52898120880127
W4,F12,0,19.999608994,19.999608994,2.384185791015625e-06,2.384185791015625e-06,0.0
W4,F12,100,16.33577919,16.33577919,2.1457672119140625e-06,1.2102546691894531,1.2102525234222412
W4,F12,500,19.999608994,19.999608994,1.9073486328125e-06,1.9073486328125e-06,0.0
W4,G11,S,12.781245232,11.165466309,147.5138967037201,324.3220474720001,176.80815076828003
W4,G12,SA,13.933491707,12.713852882,42.82885432243347,189.78504300117493,146.95618867874146
W4,G12,SB,14.665104866,13.874509811,14.73149847984314,89.935800075531,75.20430159568787
W4,G13,SA,18.696622849,18.696622849,2.384185791015625e-06,0.0763840675354003,0.07638168334960928
