f_current,time_delay,i,R_th,T_0_1
1.01,0.05,131,217.87,15.084
1.01,0.25,124,251.65,14.5243
1.01,0.45,121,265.88,14.3377
1.01,0.65,120,273.55,14.1723
1.01,0.85,119,278.25,14.0195
1.01,1.05,119,282.58,13.9018
1.01,1.25,119,284.67,13.6656
1.01,1.45,118,286.91,13.5629
1.01,1.65,118,288.29,13.4907
1.01,1.85,118,288.74,12.9828
1.015,0.05,92,197.21,14.8445
1.015,0.25,85,238.8,14.7531
1.015,0.45,83,254.63,14.6293
1.015,0.65,82,263.84,14.3594
1.015,0.85,81,267.04,14.4173
1.015,1.05,81,273.2,14.2378
1.015,1.25,81,274.89,14.124
1.015,1.45,80,278.73,13.9957
1.015,1.65,80,280.7,13.8218
1.015,1.85,80,281.98,13.7638
1.02,0.05,71,183.48,14.8636
1.02,0.25,66,226.46,14.8126
1.02,0.45,64,244.09,14.6985
1.02,0.65,63,254.81,14.5305
1.02,0.85,62,261.12,14.377
1.02,1.05,62,264.89,14.3666
1.02,1.25,61,269.8,14.0808
1.02,1.45,61,270.42,14.029
1.02,1.65,61,275.3,14.0821
1.02,1.85,61,275.67,13.9557
1.025,0.05,58,173.22,14.9468
1.025,0.25,54,216.14,14.9216
1.025,0.45,52,236.08,14.7925
1.025,0.65,51,246.32,14.7089
1.025,0.85,51,253.37,14.555
1.025,1.05,50,258.59,14.394
1.025,1.25,50,254.02,14.6934
1.025,1.45,50,268.05,14.2497
1.025,1.65,50,270.54,14.1966
1.025,1.85,49,271.0,14.1008
1.03,0.05,50,165.29,14.974
1.03,0.25,46,208.68,14.9317
1.03,0.45,44,227.93,14.843
1.03,0.65,44,240.75,14.6386
1.03,0.85,43,247.08,14.6166
1.03,1.05,43,252.21,14.5965
1.03,1.25,42,258.12,14.3798
1.03,1.45,42,260.81,14.3818
1.03,1.65,42,263.83,14.2838
1.03,1.85,42,267.07,14.0804
1.035,0.05,44,158.15,15.0577
1.035,0.25,40,201.0,15.0167
1.035,0.45,39,221.16,14.8889
1.035,0.65,38,229.67,14.7534
1.035,0.85,38,242.79,14.6064
1.035,1.05,37,247.84,14.5107
1.035,1.25,37,252.44,14.5485
1.035,1.45,37,255.8,14.3757
1.035,1.65,37,259.89,14.2485
1.035,1.85,36,261.99,14.2967
